title;year;length;budget;rating;Action;Animation;Comedy;Drama;Documentary;Romance;Short
Aladdin;1992 - 1993;60 - 90 min;>10000000 $;7;0;1;1;0;0;0;0
Aliens;1992 - 1993;< 60 min;NA;7;0;0;0;0;0;0;1
American History X;1998 - 1999;91 - 120 min;1000001 - 10000000 $;8;0;0;0;1;0;0;0
Antz;1998 - 1999;60 - 90 min;>10000000 $;7;0;1;1;0;0;0;0
Austin Powers: International Man of Mystery;1996 - 1997;91 - 120 min;>10000000 $;7;1;0;1;0;0;0;0
Batman: Dead End;2004 - 2005;< 60 min;10001 - 100000 $;7;1;0;0;0;0;0;1
Big Fish;2004 - 2005;>120 min;>10000000 $;8;0;0;1;1;0;0;0
Billy Elliot;2000 - 2001;91 - 120 min;1000001 - 10000000 $;7;0;0;0;1;0;0;0
Braveheart;1994 - 1995;>120 min;>10000000 $;8;1;0;0;1;0;0;0
Chocolat;2000 - 2001;>120 min;NA;7;0;0;1;1;0;1;0
Cowboy Bebop: Tengoku no tobira;2000 - 2001;91 - 120 min;NA;7;1;1;1;0;0;0;0
Dark City;1998 - 1999;91 - 120 min;>10000000 $;7;0;0;0;0;0;0;0
Die Hard;1996 - 1997;< 60 min;NA;7;0;1;0;0;0;0;1
Dragon Ball Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu;1992 - 1993;< 60 min;NA;7;0;1;0;0;0;0;1
Dreamer: The Movie;2002 - 2003;91 - 120 min;10001 - 100000 $;9;0;0;0;1;0;0;0
El Diablo nunca duerme;1994 - 1995;60 - 90 min;NA;7;0;0;0;0;1;0;0
El Maquinista;2002 - 2003;91 - 120 min;1000001 - 10000000 $;7;0;0;0;1;0;0;0
Entre todas las mujeres;1998 - 1999;60 - 90 min;NA;8;0;0;0;1;0;0;0
Fight Club;1998 - 1999;>120 min;>10000000 $;8;0;0;0;1;0;0;0
Fuga de cerebros;1998 - 1999;91 - 120 min;NA;7;0;0;0;1;0;0;0
Gladiator;2000 - 2001;>120 min;>10000000 $;8;1;0;0;1;0;0;0
Harry Potter and the Chamber of Secrets;2004 - 2005;>120 min;>10000000 $;7;0;0;0;0;0;0;0
Harry Potter and the Prisoner of Azkaban;2002 - 2003;>120 min;>10000000 $;7;0;0;0;0;0;0;0
Harry Potter and the Sorcerer's Stone;2000 - 2001;>120 min;>10000000 $;7;0;0;0;0;0;0;0
Harry un ami qui vous veut du bien;2000 - 2001;91 - 120 min;NA;7;0;0;1;1;0;0;0
I Robot;2002 - 2003;91 - 120 min;>10000000 $;7;1;0;0;0;0;0;0
Ice Age;2004 - 2005;60 - 90 min;>10000000 $;7;0;1;1;0;0;0;0
Identity;2004 - 2005;60 - 90 min;>10000000 $;7;0;0;0;1;0;0;0
Initial D: Third Stage;2000 - 2001;91 - 120 min;NA;8;1;1;0;0;0;1;0
Jurassic Park;1992 - 1993;>120 min;>10000000 $;7;1;0;0;0;0;0;0
Kill Bill: Vol. 1;2004 - 2005;91 - 120 min;>10000000 $;8;1;0;0;1;0;0;0
Kill Bill: Vol. 2;2002 - 2003;>120 min;>10000000 $;8;1;0;0;1;0;0;0
Lilo & Stitch;2004 - 2005;60 - 90 min;>10000000 $;7;0;1;1;1;0;0;0
Mulan;1998 - 1999;60 - 90 min;>10000000 $;7;0;1;1;0;0;0;0
Mystic River;2004 - 2005;>120 min;>10000000 $;8;0;0;0;1;0;0;0
Pirates of the Caribbean: The Curse of the Black Pearl;2004 - 2005;>120 min;>10000000 $;8;1;0;1;0;0;0;0
Shrek;2000 - 2001;60 - 90 min;>10000000 $;8;0;1;1;0;0;1;0
Shrek 2;2002 - 2003;91 - 120 min;>10000000 $;7;0;1;1;0;0;0;0
Sin City;2002 - 2003;>120 min;>10000000 $;8;1;0;0;0;0;0;0
Spider-Man;2004 - 2005;>120 min;>10000000 $;7;1;0;0;0;0;0;0
Spider-Man 2;2002 - 2003;>120 min;>10000000 $;7;1;0;0;0;0;0;0
Star Trek the Experience: The Klingon Encounter;1998 - 1999;< 60 min;>10000000 $;7;1;0;0;0;0;0;1
Star Trek: First Contact;1996 - 1997;91 - 120 min;>10000000 $;7;1;0;0;0;0;0;0
Star Trek: New Voyages;2004 - 2005;< 60 min;NA;8;0;0;0;0;0;0;0
Star Wars: Episode II - Attack of the Clones;2004 - 2005;91 - 120 min;>10000000 $;7;1;0;0;0;0;0;0
Tarzan;1998 - 1999;60 - 90 min;>10000000 $;7;0;1;0;0;0;0;0
The Incredibles;2002 - 2003;>120 min;>10000000 $;8;1;1;1;0;0;0;0
The Island;2000 - 2001;< 60 min;10001 - 100000 $;9;0;0;0;0;0;0;1
The Lord of the Rings: The Fellowship of the Ring;2000 - 2001;>120 min;>10000000 $;8;1;0;0;0;0;0;0
The Lord of the Rings: The Return of the King;2004 - 2005;>120 min;>10000000 $;9;1;0;0;0;0;0;0
The Lord of the Rings: The Two Towers;2004 - 2005;>120 min;>10000000 $;8;1;0;0;0;0;0;0
The Matrix;1998 - 1999;>120 min;>10000000 $;8;1;0;0;0;0;0;0
The Matrix Reloaded;2004 - 2005;>120 min;>10000000 $;7;1;0;0;0;0;0;0
Toy Story;1994 - 1995;60 - 90 min;>10000000 $;7;0;1;1;0;0;0;0
Toy Story 2;1998 - 1999;91 - 120 min;>10000000 $;8;0;1;1;0;0;0;0
X-Men;2000 - 2001;91 - 120 min;>10000000 $;7;1;0;0;0;0;0;0
